(carboplatin)||carboplatin
cefotaxime sodium||cefotaxime
warfarine||warfarin
cefotiam hydrochloride||cefotiam
cefoxitin sodium||cefoxitin
fludarabin||fludarabine
cefozopran hydrochloride||cefozopran
water bacteriostatic||water
fludarabine teva||fludarabine
cefpirome sulfate||cefpirome
protamine sulfate||protamine
water for injections||water
magic mouthwash||levomenthol
ceftaroline fosamil - bp||ceftaroline fosamil
fludex (indapamide)||indapamide
water pill||water
water pills||water
ceftaroline fosamil unk||ceftaroline fosamil
wellbutrin (bupropion hydrochloride)||bupropion
ceftriaxona (501a)||ceftriaxone
white soft paraffin||petrolatum
ceftriaxone (ceftriaxone)||ceftriaxone
ceftriaxone base||ceftriaxone
ceftriaxone disodium||ceftriaxone
ceftriaxone injection||ceftriaxone
ceftriaxone mylan||ceftriaxone
ceftriaxone na||ceftriaxone
women's multivitamin||cholecalciferol
fluocinonide cream usp 0.05%||fluocinonide
ceftriaxone panpharma||ceftriaxone
womens multivitamin||cholecalciferol
cefuroxime (manufacturer unknown)||cefuroxime
womens rogaine extra strength||levomenthol
fluorouracil (fluorouracil)||fluorouracil
magnesiocard||magnesium
cefuroxime sodium (unknown)||cefuroxime
fluorouracil (fluorouracil) (fluorouracil)||fluorouracil
wp thyroid||levothyroxine
magnesium (magnesium)||magnesium
fluorouracil (manufacturer unknown)||fluorouracil
magnesium (unspecified)||magnesium
fluorouracil (manufacturer unknown) (fluorouracil) (fluorouracil)||fluorouracil
celebrex (celecoxib)||celecoxib
fluorouracil (unknown)||fluorouracil
magnesium amino acid chelate||magnesium
fluorouracil 5 fu||fluorouracil
celecoxib 200mg||celecoxib
fluorouracil 5%||fluorouracil
celecoxib capsules 200 mg||celecoxib
fluorouracil accord||fluorouracil
xanax (alprazolam)||alprazolam
fluorouracil teva||fluorouracil
magnesium chelate||magnesium
xanax (alprazolam) (alprazolam)||alprazolam
fluorouracil topical cream usp 5%||fluorouracil
magnesium gluceptate||magnesium
fluorouracile||fluorouracil
fluorouracile accord||fluorouracil
protonix (pantoprazole sodium sesquihydrate)||pantoprazole
magnesium glycerophosphate||magnesium
celestone chronodose||betamethasone
fluorouracile ahcl||fluorouracil
celexa (citalopram hydrobromide)||citalopram
fluorouracile pfizer||fluorouracil
xarelto (rivaroxaban)||rivaroxaban
magnesium isoglycyrrhizinate||magnesium
protonix (pantoprazole)||pantoprazole
fluorouracile teva||fluorouracil
xatral [alfuzosin hydrochloride]||alfuzosin
celexa (united states)||citalopram
protonix (united states)||pantoprazole
fluoxetine (fluoxetine)||fluoxetine
celexa tablets||citalopram
xatral lp||alfuzosin
magnesium pidolate||magnesium
celiprolol hydrochloride||celiprolol
xenazine 12.5 mg (not specified)||tetrabenazine
fluoxetine (unknown)||fluoxetine
protonix ^pharmacia^||pantoprazole
xenazine 25 mg (not specified)||tetrabenazine
protonix dr||pantoprazole
fluoxetine (watson laboratories)||fluoxetine
protriptyline hcl||protriptyline
fluoxetine hcl unk||fluoxetine
magnesium verla||magnesium
fluoxetine hydrochloride (unknown)||fluoxetine
magnesium-ox||magnesium
centrum a to zinc||zinc
flupentixol decanoate||flupentixol
magnesiumhydroxide||magnesium
flupentixol dihydrochloride||flupentixol
flurazepam hcl||flurazepam
flurazepam monohydrochloride||flurazepam
fluticasone (fluticasone)||fluticasone
centrum complete||chlorpheniramine
magnesiumoxide||magnesium
centrum materna||selenic acid
fluticasone prop||fluticasone
xopenex inhaler||levosalbutamol
proventil [salbutamol sulfate]||salbutamol
centrum multivitamin||cholecalciferol
centrum multivitamins||cholecalciferol
proventil hfa [salbutamol]||salbutamol
xylocaine viscous||epinephrine
xylocaine-mpf||epinephrine
proventil inhaler||salbutamol
xylometazoline hydrochloride||xylometazoline
centrum silver||silver
xyzall||levocetirizine
provigil (modafinil)||modafinil
centrum silver (centrum silver)||silver
fluticasone proprionate||fluticasone
yasminelle||drospirenone
fluticasone spr||fluticasone
fluticasone spray||fluticasone
prozac (fluoxetine hydrochloride)||fluoxetine
centrum silver for women||silver
youplus vitamin c||ascorbic acid
centrum silver vitamin||silver
centrum silver women||silver
manidipine hydrochloride||manidipine
centyl med kaliumklorid||potassium
psyllium fiber||calcium polycarbophil
z-ribavirin||ribavirin
fluzone [fluconazole]||fluconazole
cephalexin [cefalexin]||cephalexin
cephalexin amel||cephalexin
cephalexin hcl||cephalexin
cephalexin hydrochloride||cephalexin
folacin [folic acid]||folic acid
cephalexin monohydrate||cephalexin
cephalexine||cephalexin
folate sodium||folic acid
zanaflex (tizanidine hydrochloride)||tizanidine
pulmicort (budesonide)||budesonide
zantac (ranitidine hydrochloride)||ranitidine
zantac 150 (otc)||ranitidine
zantac 150 (ranitidine hydrochloride)||ranitidine
zantac 150 otc||ranitidine
zantac 300||ranitidine
zantac 75 (otc)||ranitidine
folic acid (folic acid)||folic acid
zantac 75 (ranitidine hydrochloride)||ranitidine
folic acid (folic acid) (folic acid)||folic acid
zantac cool mint (tablets)||ranitidine
folic acid (folic acid) (unknown)||folic acid
folic acid (unknown)||folic acid
folic acid almus||folic acid
folic acid tablets||folic acid
pursana||chloroxylenol
folina [folic acid]||folic acid
pursennid (sennosides)||sennosides
matulane capsules||procarbazine
follistim aq||water
follistim aq cartridge||water
certoparin sodium||certoparin
maxalt mlt||rizatriptan
zegerid otc capsules||sodium bicarbonate
zemplar (paricalcitol)||paricalcitol
cetirizine (cetirizine)||cetirizine
cetirizine (dichlorhydrate de)||cetirizine
pyridostigmine br||pyridostigmine
maximum d3||chloroxylenol
cetirizine (unknown)||cetirizine
folvite [folic acid]||folic acid
cetirizine 10 mg||cetirizine
cetirizine dihydrochloride||cetirizine
zestril (lisinopril)||lisinopril
zetia (ezetimibe)||ezetimibe
pyridoxine hcl||pyridoxine
formoterol fumarate||formoterol
zicam cold remedy||phenylephrine
mebeverine hydrochloride||mebeverine
formoterol fumarate dihydrate||formoterol
zicam cold remedy rapidmelts||phenylephrine
cevimeline hcl||cevimeline
zicam nos||phenylephrine
zidovudine (zidovudine)||zidovudine
meclozine hydrochloride||meclizine
zidovudine (zidovudine) unknown)||zidovudine
fortecortin [dexamethasone]||dexamethasone
zinc (unspecified)||zinc
zinc chelate||zinc
zincate||zinc
zingiber officinale||calcium
chibro-proscar||finasteride
children's allegra allergy||fexofenadine
ziprasidone hcl||ziprasidone
children's aspirin||acetylsalicylic acid
ziprasidone mesilate||ziprasidone
fosamax (alendronate sodium)||alendronic acid
quercetin dihydrate||quercetin
fosamax d||alendronic acid
foscarnet?sodium||foscarnet
chlor-trimeton||chlorine
quetiapina (1136a)||quetiapine
zocor (simvastatin)||simvastatin
quetiapina doc generici compresse rivestite con film||quetiapine
medicon (dextromethorphan hydrobromide)||dextromethorphan
zofran (ondansetron hydrochloride)||ondansetron
quetiapine (agptc)||quetiapine
medicon [dextromethorphan hydrobromide]||dextromethorphan
quetiapine (quetiapine)||quetiapine
zofran (ondansetron)||ondansetron
fragmin p||dalteparin
zofran [ondansetron hydrochloride]||ondansetron
quetiapine (quetiapine) (quetiapine)||quetiapine
fragmin p forte||dalteparin
fragmine||dalteparin
chlorhex||chlorine
quetiapine (unknown)||quetiapine
chlorhex glu||chlorine
zofran [ondansetron]||ondansetron
chlorhexadine||chlorine
quetiapine accord||quetiapine
zoledronic acid (manufacturer unknown)||zoledronic acid
zoledronic acid (unknown)||zoledronic acid
medrol [methylprednisolone]||methylprednisolone
quetiapine film-coated tablet||quetiapine
zoledronic acid hydrate||zoledronic acid
medrol dose pack||methylprednisolone
quetiapine film?coated tablet||quetiapine
medroxy||capsaicin
zolinza capsules 100mg||vorinostat
quetiapine fumarat||quetiapine
quetiapine fumarate tablets||quetiapine
medroxypr ac||capsaicin
quetiapine mylan||quetiapine
medroxyprogesteron||capsaicin
frusemide [furosemide]||furosemide
zolpidem (unknown)||zolpidem
zolpidem (zolpidem)||zolpidem
zolpidem er||zolpidem
chlorophyll||chlorine
quinapril hcl||quinapril
zolpidem hemitartrate||zolpidem
zolpidem tartarate||zolpidem
quinine bisulfate||quinine
quinine sulfate (watson laboratories)||quinine
fucidin (fusidic acid)||fusidic acid
chlorpheniramin||chlorine
zolpidem tartate||zolpidem
zolpidem tartrate (watson laboratories)||zolpidem
megace f||megestrol acetate
fucidine||fusidic acid
megace oral||megestrol acetate
quinine sulphate||quinine
zolpidem tartrate (zolpidem tartrate)||zolpidem
qvar (beclometasone dipropionate)||beclomethasone dipropionate
chlorthalid||chlorine
chlorthalidon||chlorine
chlortrimeton||chlorine
zolpidem tartrate od||zolpidem
chlorure de sodium||chlorine
chlorvescent||chlorine
megared omega 3 krill oil||capsaicin
zolpidem tartrate tablet||zolpidem
cholecalciferol (vitamin d3)||cholecalciferol
zolpidem tartrate tablets||zolpidem
rabeprazole na||rabeprazole
megestrol ac||megestrol acetate
zolpidem tartrate tablets 10 mg||zolpidem
zolpidem tartrate tablets 10mg||zolpidem
cholesterol medication||cholesterol
zolpidem tartrate tablets 5 mg||zolpidem
zometa (zoledronate) unknown||zoledronic acid
cholesterol medicine||cholesterol
zometa (zoledronic acid)||zoledronic acid
melatonin (melatonin)||melatonin
zometa (zoledronic acid) (unknown)||zoledronic acid
melatonine||melatonin
cholesterol pill||cholesterol
zomigoro||zolmitriptan
zonisamide capsule||zonisamide
furadantine||nitrofurantoin
zophren (ondansetron hydrochloride)||ondansetron
zophren (ondansetron)||ondansetron
meloxican||magnesium hydroxide
cholestyramine for oral suspension usp||cholestyramine
zophren [ondansetron hydrochloride]||ondansetron
raloxifene hcl||raloxifene
choline bitartrate||choline
zophren [ondansetron]||ondansetron
melperone hydrochloride||melperone
melphalan hydrochloride for injection||melphalan
zopiclone (unknown)||zopiclone
furix (furosemide)||furosemide
zopiclone (zopiclone)||zopiclone
ramipril (ramipril)||ramipril
memantine hcl||memantine
furon [furosemide]||furosemide
memantine hcl - bp||memantine
ramipril (unknown)||ramipril
chondroitin glucosamin||dextrose, unspecified form
memantine hcl ? bp||memantine
furosemid [furosemide]||furosemide
memantine hcl unk||memantine
ramipril 10mg||ramipril
furosemida (1615a)||furosemide
furosemida [furosemide]||furosemide
chondroitin sulfate sodium||chondroitin sulfate
ramipril 1a pharma||ramipril
furosemide (furosemide)||furosemide
ramipril 2.5mg||ramipril
furosemide (furosemide) (furosemide)||furosemide
ramipril 5mg||ramipril
furosemide (furosemide) (tablets)||furosemide
ramipril actavis||ramipril
furosemide (furosemide) (unknown)||furosemide
ramipril beta comp||ramipril
furosemide (manufacturer unknown)||furosemide
ramipril capsule||ramipril
furosemide (unknown)||furosemide
ramipril comp||ramipril
furosemide 20 mg||furosemide
ramipril hct||ramipril
zuclopenthixol decanoate||zuclopenthixol
furosemide 20mg||furosemide
ramipril hexal||ramipril
zuclopenthixol hydrochloride||zuclopenthixol
furosemide 40 mg||furosemide
ramipril mylan||ramipril
furosemide [furosemide sodium]||furosemide
meperidine [pethidine]||meperidine
ramipril plus||ramipril
mepivacaine hcl||mepivacaine
furosemide [furosemide]||furosemide
ramipril tablet||ramipril
furosemide arrow||furosemide
ramosetron hydrochloride||ramosetron
furosemide mylan||furosemide
furosemide renaudin||furosemide
mepronizine||atovaquone
furosemide sodium||furosemide
ranexa (ranolazine)||ranolazine
furosemide tablets||furosemide
furosemide tablets usp||furosemide
zyloric (allopurinol)||allopurinol
mercaptamine bitartrate||cysteamine
furosemide teva||furosemide
zyprexa (olanzapine)||olanzapine
furosemide teva 40 mg||furosemide
zyrtec (cetirizine hydrochloride)||cetirizine
mercilon  conti||desogestrel
zyrtec 10mg ir tablet||cetirizine
zyrtec allgy||cetirizine
ranitidine (ranitidine)||ranitidine
zyrtec ir||cetirizine
fusidate sodium||fusidic acid
ranitidine (unknown)||ranitidine
zyrtec liquid gels 10 mg||cetirizine
ranitidine capsules 150 mg||ranitidine
meropenem (manufacturer unknown)||meropenem
zyrtec?d||cetirizine
ranitidine hci||ranitidine
meropenem (meropenem)||meropenem
zytiga tab 500mg||abiraterone
ranitidine hcl||ranitidine
meropenem anhydre||meropenem
fycompa (perampanel)||perampanel
ranitidine hydrochloride capsule||ranitidine
meropenem hydrate||meropenem
ranitidine tablets 75 mg||ranitidine
zyvoxid||linezolid
meropenem injection||meropenem
meropenem trihydrate||meropenem
mesalazine - bp||mesalazine
mesalazine unk||mesalazine
rapaflo (watson laboratories)||silodosin
mesna eg||coenzyme m
mesna for injection 1 gram||coenzyme m
mesna injection||coenzyme m
gabapentin (aellc)||gabapentin
gabapentin (gabapentin)||gabapentin
rasagiline mesilate||rasagiline
gabapentin (gabapentin) (gabapentin)||gabapentin
gabapentin (gabapentin) (unknown) (gabapentin)||gabapentin
metamfetamine hydrochloride||metamfetamine
metamizol (111a)||metamizole
gabapentin (neurontin)||gabapentin
metamizol natrium||metamizole
gabapentin (unknown)||gabapentin
gabapentin 100mg||gabapentin
metamizole sodium||metamizole
gabapentin 300 mg||gabapentin
gabapentin 300mg||gabapentin
gabapentin 600mg||gabapentin
metamucil therapy for regularity||sodium fluorophosphate
gabapentin ^pcd^||gabapentin
gabapentin actavis||gabapentin
gabapentin capsules 100 mg||gabapentin
gabapentin capsules 300 mg||gabapentin
gabapentin tablets||gabapentin
gabapentin tablets usp 600mg||gabapentin
gabapentin teva||gabapentin
metex (methotrexate sodium)||methotrexate
gabapentine arrow||gabapentin
rebetol (ribavirin) capsule||ribavirin
gabexate mesilate||gabexate
gadobenate dimeglumine||gadobenic acid
rebetol capsules 200mg||ribavirin
rebif (interferon beta-1a)||sodium chloride
gadolinium (unspecified)||gadolinium
rebif rebidose||sodium chloride
gadolinium in unspecified drug||gadolinium
metformin (metformin hydrochloride)||metformin
metformin (metformin)||metformin
gadoxetate disodium||gadoxetic acid
galantamine hbr||galantamine
metformin (metformin) (metformin)||metformin
metformin (metformin) (unknown)||metformin
metformin (unknown)||metformin
metformin 500mg||metformin
metformin [metformin hydrochloride]||metformin
galvus met||vildagliptin
metformin actavis||metformin
galvusmet||vildagliptin
metformin er||metformin
metformin film-coated tablet||metformin
metformin film?coated tablet||metformin
metformin hcl (metformin hydrochloride)||metformin
metformin hcl tablets||metformin
metformin hcl tabs||metformin
metformin hydrochloride (metformin hydrochloride)||metformin
metformin hydrochloride (unknown)||metformin
metformin hydrochloride (watson laboratories)||metformin
metformin hydrochloride tablets usp 1000 mg||metformin
metformin hydrochloride tablets usp 500 mg||metformin
reduced glutathione sodium||glutathione
ganciclovir sodium||ganciclovir
metformin hydrochloridetablets||metformin
metformin tablet||metformin
metformina (1359a)||metformin
refresh p.m||polyvinyl alcohol
metformina [metformin]||metformin
metformine [metformin]||metformin
metformine arrow||metformin
metformine hcl||metformin
metformine hydrochloride||metformin
regular insulin||sodium fluorophosphate
regular insulin novo nordisk||sodium fluorophosphate
methadone (methadone)||methadone
methadone (methadone) (methadone)||methadone
methadone ap hp||methadone
methadone ap-hp||methadone
methamphetamine [metamfetamine]||metamfetamine
methamphetamine hcl||metamfetamine
remdesivir (eua) (remdesivir (eua))||remdesivir
gaster [famotidine]||famotidine
remeron (mirtazapine)||mirtazapine
methotrexat [methotrexate]||methotrexate
methotrexate (manufacturer unknown)||methotrexate
methotrexate (manufacturer unknown) (methotrexate) (methotrexate)||methotrexate
remifentanil mylan||remifentanil
methotrexate (methotrexate sodium)||methotrexate
methotrexate (methotrexate)||methotrexate
methotrexate (methotrexate) (methotrexate)||methotrexate
remodulin (injection for infusion) (treprostinil sodium)||treprostinil
methotrexate (trade name unknown)||methotrexate
methotrexate (unknown)||methotrexate
gaviscon advance||magnesium carbonate
methotrexate 2.5mg tab||methotrexate
methotrexate [methotrexate sodium]||methotrexate
methotrexate biodim||methotrexate
methotrexate disodium||methotrexate
methotrexate injection||methotrexate
methotrexate mylan||methotrexate
methotrexate pfizer||methotrexate
methoxy polyethylene glycol-epoetin beta||polyethylene glycol
gemcitabine (gemcitabine)||gemcitabine
repaglinide (unknown)||repaglinide
gemcitabine (unknown)||gemcitabine
gemcitabine accord||gemcitabine
methyl folate||folic acid
methyl prednisolone||prednisolone
gemfibrozil (gemfibrozil)||gemfibrozil
methyl prednisolone sodium succinate||prednisolone
methyldopa msd||methyldopa
generic buprenorphine||buprenorphine
requip (ropinirole hydrochloride)||ropinirole
requip lp||ropinirole
generic fentanyl||fentanyl
methylphenid||methenamine
generic lipitor||atorvastatin
methylphenidat||methenamine
methylprednisolon [methylprednisolone]||methylprednisolone
restamin [diphenhydramine]||diphenhydramine
methylprednisolone (manufacturer unknown)||methylprednisolone
methylprednisolone (methylprednisolone)||methylprednisolone
gentamicin (manufacturer unknown)||gentamicin
restasis (ciclosporin)||cyclosporine
methylprednisolone (unknown)||methylprednisolone
restasis?||cyclosporine
gentamicin (unknown)||gentamicin
methylprednisolone merck||methylprednisolone
gentamicin sulphate||gentamicin
methylprednisolone mylan||methylprednisolone
gentamicin unk||gentamicin
methylprednisolone na succinate||methylprednisolone
restoril (temazepam)||temazepam
gentamicine||gentamicin
methylprednisolone nos||methylprednisolone
gentamicine panpharma||gentamicin
methylprednisolone tablets||methylprednisolone
methylprednisolone tablets 4mg||methylprednisolone
methylprednisolone tablets usp||methylprednisolone
geritol complete||chlorpheniramine
reuquinol (hydroxychloroquine sulfate)||hydroxychloroquine
revatio (sildenafil citrate)||sildenafil
revatio (sildenafil citrate) (unknown)||sildenafil
revatio (sildenafil citrate) (unknown) (sildenafil)||sildenafil
metoclopramid [metoclopramide]||metoclopramide
metoclopramide (metoclopramide)||metoclopramide
metoclopramide (unknown)||metoclopramide
metoclopramide dihydrochloride||metoclopramide
metoclopramide hcl||metoclopramide
metoject pen||methotrexate
metoprolol (metoprolol tartrate)||metoprolol
metoprolol (metoprolol)||metoprolol
metoprolol (metoprolol) (metoprolol)||metoprolol
metoprolol (metoprolol) (unknown)||metoprolol
metoprolol (unknown)||metoprolol
metoprolol (watson laboratories)||metoprolol
metoprolol 50mg||metoprolol
metoprolol [metoprolol tartrate]||metoprolol
metoprolol er||metoprolol
metoprolol er succinate||metoprolol
metoprolol fumarate||metoprolol
metoprolol mylan||metoprolol
metoprolol salt not specified||metoprolol
metoprolol stada||metoprolol
metoprolol suc||metoprolol
metoprolol succ||metoprolol
metoprolol succ ct||metoprolol
metoprolol succ er||metoprolol
metoprolol succinate (metoprolol succinate)||metoprolol
metoprolol tar||metoprolol
metoprolol tart||metoprolol
metoprolol tartarate||metoprolol
metoprolol tartras||metoprolol
metoprolol tartrate (metoprolol tartrate)||metoprolol
metoprolol tartrate (metoprolol tartrate) unknown||metoprolol
metoprolol tartrate tablets usp||metoprolol
metoprolol xl||metoprolol
metoprololsuccinaat||metoprolol
metoprololsuccinat||metoprolol
metoprololsuccinat 1a pharma||metoprolol
metoprololsuccinat hexal||metoprolol
metoprololtartrat||metoprolol
metotrexato (418a)||methotrexate
metotrexato [methotrexate]||methotrexate
metronidazol [metronidazole]||metronidazole
metronidazole (metronidazole)||metronidazole
metronidazole (unknown)||metronidazole
metronidazole b braun||metronidazole
metronidazole cream (metronidazole) 0.75%||metronidazole
metronidazole tablet||metronidazole
metypred [methylprednisolone]||methylprednisolone
mevacor tablet||lovastatin
mezavant also known as mesalamine||mesalazine
mezavant xl||mesalazine
mianserin hydrochloride||mianserin
mianserine [mianserin hydrochloride]||mianserin
mianserine arrow||mianserin
mianserine hcl||mianserin
micafungin sodium||micafungin
micardis (telmisartan)||telmisartan
micro k||chloroxylenol
micro-k||chloroxylenol
microgynon||chloroxylenol
microlax||chloroxylenol
microlet||chloroxylenol
micropakine||chloroxylenol
micropirin||chloroxylenol
microval||chloroxylenol
midazolam (midazolam)||midazolam
midazolam hydrochloride injection||midazolam
midazolam maleate||midazolam
midazolam mylan||midazolam
milnacipran - bp||milnacipran
milnacipran hydrochloride||milnacipran
