(carboplatin)||carboplatin||carboplatin
risperidone mylan||risperidone||risperidone
aciclovir mylan||aciclovir||acyclovir
clavulanate potassium||clavulanate||clavulanic acid
clavulanate potassium||potassium||potassium
mosapride citrate||mosapride||mosapride
aciclovir sodium||aciclovir||acyclovir
glyburide (glibenclamide)||glyburide||glyburide
cleanal||clean||benzethonium
glyburide (glibenclamide)||glibenclamide||glyburide
glyburide-metformin||glyburide||glyburide
glyburide-metformin||metformin||metformin
mosapride citrate hydrate||mosapride||mosapride
ritalin (methylphenidate hydrochloride)||methylphenidate||methylphenidate
ritalin (methylphenidate hydrochloride)||methylphenidate hydrochloride||methylphenidate
ritalin (methylphenidate hydrochloride)||ritalin||methylphenidate
ritalin (methylphenidate hydrochloride)||methylphen||methenamine
ritalin (methylphenidate hydrochloride)||hydro||ethanol
clemizole penicillin||clemizol||clemizole
clemizole penicillin||clemizole||clemizole
ritalina||ritalin||methylphenidate
ritaline||ritalin||methylphenidate
glycerol\paraffin||glycerol||glycerin
ritaline lp||ritalin||methylphenidate
glyceryl trinitrate (glyceryl trinitrate)||glyceryl trinitrate||nitroglycerin
ritodrine hydrochloride||ritodrine||ritodrine
motrin (ibuprofen)||motrin||ibuprofen
motrin (ibuprofen)||ibuprofen||ibuprofen
ritodrine hydrochloride||hydro||ethanol
glycopyrrolate [glycopyrronium bromide]||glycopyrrolate||glycopyrronium
ritonavir (ritonavir)||ritonavir||ritonavir
glycopyrrolate [glycopyrronium bromide]||glycopyrronium||glycopyrronium
clexane (enoxaparin sodium)||enoxaparin||enoxaparin
glycopyrrolate [glycopyrronium]||glycopyrrolate||glycopyrronium
ritonavir soft gelatin capsules||ritonavir||ritonavir
glycopyrrolate [glycopyrronium]||glycopyrronium||glycopyrronium
clexane (enoxaparin sodium)||enoxaparin sodium||enoxaparin
ritonavir soft gelatin capsules||gelatin||gelatin
glycopyrronium bromide||glycopyrronium||glycopyrronium
clindamycin (clindamycin)||clindamycin||clindamycin
clindamycin hcl||clindamycin||clindamycin
clobazam (clobazam)||clobazam||clobazam
clobetasol 0.05%||clobetasol||clobetasol
rivaroxaban (rivaroxaban 20mg tab)||rivaroxaban||rivaroxaban
acidum folicum streuli||acidum folicum||folic acid
clobetasol 0.05%||clobeta||clobetasol propionate
clobetasol cream||clobetasol||clobetasol
clobetasol cream||clobeta||clobetasol propionate
moxifloxacin (manufacturer unknown)||moxifloxacin||moxifloxacin
clobetasol propionate cream usp 0.05%||clobetasol||clobetasol
clobetasol propionate cream usp 0.05%||clobetasol propionate cream||clobetasol propionate
clobetasol propionate cream usp 0.05%||clobeta||clobetasol propionate
clobetasol propionate cream usp 0.05%||clobetasol propionate||clobetasol propionate
gold bond original strength powder||gold||gold
clobetasol propionate ointment usp 0.05%||clobetasol||clobetasol
gold bond original strength powder||gold bond original strength||levomenthol
gold bond original strength powder||original||magnesium hydroxide
moxifloxacin hcl||moxifloxacin||moxifloxacin
clobetasol propionate ointment usp 0.05%||clobeta||clobetasol propionate
clobetasol propionate ointment usp 0.05%||clobetasol propionate||clobetasol propionate
clobetasol proprionate||clobetasol||clobetasol
clobetasol proprionate||clobeta||clobetasol propionate
rivotril (clonazepam)||clonazepam||clonazepam
clobetasone butyrate||clobetasone||clobetasone
moxifloxacin iv||moxifloxacin||moxifloxacin
clobetasone butyrate||butyrate||butyric acid
clobetasone butyrate||clobeta||clobetasol propionate
clodronate disodium||clodronate||clodronic acid
moxifloxacin oral||moxifloxacin||moxifloxacin
aciphex (rabeprazole sodium)||aciphex||rabeprazole
aciphex (rabeprazole sodium)||rabeprazole sodium||rabeprazole
aciphex (rabeprazole sodium)||rabeprazole||rabeprazole
moxifloxacine||moxifloxacin||moxifloxacin
goodsense aspirin||aspirin||acetylsalicylic acid
clomifene citrate||clomifene||clomifene
aciphex (rabeprazole)||aciphex||rabeprazole
aciphex (rabeprazole)||rabeprazole||rabeprazole
clomipramine (chlorhydrate de)||clomipramine||clomipramine
clomipramine (chlorhydrate de)||chlor||chlorine
goserelin acetate||acetate||acetate
clonazepam (aellc)||clonazepam||clonazepam
goserelin acetate||goserelin||goserelin
aclidinium bromide||aclidinium||aclidinium
clonazepam (clonazepam)||clonazepam||clonazepam
gosereline||goserelin||goserelin
clonazepam (clonazepam) (clonazepam)||clonazepam||clonazepam
robaxin (methocarbamol)||robaxin||methocarbamol
robaxin (methocarbamol)||methocarbamol||methocarbamol
clonazepam (unknown)||clonazepam||clonazepam
robaxin-750||robaxin||methocarbamol
clonazepam 0.5mg||clonazepam||clonazepam
clonazepam 1mg||clonazepam||clonazepam
robitussin (guaifenesin)||guaifenesin||guaifenesin
clonazepam accord||clonazepam||clonazepam
clonazepam actavis||clonazepam||clonazepam
actavis clonazepam||clonazepam||clonazepam
clonazepam tablets usp||clonazepam||clonazepam
granisetron hcl||granisetron||granisetron
rocephine||rocephin||ceftriaxone
clonazepam teva||clonazepam||clonazepam
rolaids [calcium carbonate;magnesium hydroxide]||magnesium||magnesium
rolaids [calcium carbonate;magnesium hydroxide]||rolaids||magnesium hydroxide
rolaids [calcium carbonate;magnesium hydroxide]||carbonate||carbonate ion
rolaids [calcium carbonate;magnesium hydroxide]||hydroxide||hydroxide ion
rolaids [calcium carbonate;magnesium hydroxide]||carbon||activated charcoal
rolaids [calcium carbonate;magnesium hydroxide]||calcium||calcium
rolaids [calcium carbonate;magnesium hydroxide]||hydro||ethanol
rolaids [calcium carbonate;magnesium hydroxide]||calcium carbonate||calcium carbonate
rolaids [calcium carbonate;magnesium hydroxide]||magnesium hydroxide||magnesium hydroxide
rolaids [dihydroxyaluminum sodium carbonate]||rolaids||magnesium hydroxide
rolaids [dihydroxyaluminum sodium carbonate]||carbonate||carbonate ion
rolaids [dihydroxyaluminum sodium carbonate]||sodium carbonate||sodium carbonate
rolaids [dihydroxyaluminum sodium carbonate]||carbon||activated charcoal
clonidine (clonidine)||clonidine||clonidine
rolaids [dihydroxyaluminum sodium carbonate]||dihydroxyaluminum sodium carbonate||dihydroxyaluminum sodium carbonate
clonidine (clonidine)||clonidin||clonidine
clonidine hcl||clonidine||clonidine
clonidine hcl||clonidin||clonidine
rolapitant hydrochloride||hydro||ethanol
rolapitant hydrochloride||rolapitant||rolapitant
clonidine hcl er||clonidine||clonidine
clonidine hcl er||clonidin||clonidine
clonidine patch||patch||levomenthol
mst [morphine sulfate]||sulfate||sulfate ion
clonidine patch||clonidine||clonidine
clonidine patch||clonidin||clonidine
mst [morphine sulfate]||morphine||morphine
mst [morphine sulfate]||morphine sulfate||morphine
mst [morphine sulfate]||morphin||morphine
actifed (pseudoephedrine hydrochloride\triprolidine hydrochloride)||triprolidine hydrochloride||triprolidine
actifed (pseudoephedrine hydrochloride\triprolidine hydrochloride)||pseudoephedrine||pseudoephedrine
actifed (pseudoephedrine hydrochloride\triprolidine hydrochloride)||triprolidin||triprolidine
actifed (pseudoephedrine hydrochloride\triprolidine hydrochloride)||pseudoephedrine hydrochloride||pseudoephedrine
actifed (pseudoephedrine hydrochloride\triprolidine hydrochloride)||hydro||ethanol
ropinirole er||ropinirol||ropinirole
actifed (pseudoephedrine hydrochloride\triprolidine hydrochloride)||triprolidine||triprolidine
clopidogrel (chlorhydrate de)||clopidogrel||clopidogrel
ropinirole er||ropinirole||ropinirole
ropinirole hcl||ropinirol||ropinirole
clopidogrel (chlorhydrate de)||chlor||chlorine
clopidogrel (clopidogrel)||clopidogrel||clopidogrel
ropinirole hcl||ropinirole||ropinirole
clopidogrel (unknown)||clopidogrel||clopidogrel
mtx [methotrexate]||methotrexat||methotrexate
clopidogrel besilate||clopidogrel||clopidogrel
mtx [methotrexate]||methotrexate||methotrexate
clopidogrel besylate||clopidogrel||clopidogrel
ropivacaine (manufacturer unknown)||ropivacaine||ropivacaine
clopidogrel bisulfate 75 mg||clopidogrel||clopidogrel
clopidogrel bisulfate 75 mg||clopidogrel bisulfate||clopidogrel
clopidogrel bisulphate||clopidogrel||clopidogrel
mucinex (guaifenesin)||guaifenesin||guaifenesin
mucinex (guaifenesin)||mucinex||guaifenesin
rosuvastatin (rosuvastatin)||rosuvastatin||rosuvastatin
clopidogrel film coated tablets||clopidogrel||clopidogrel
rosuvastatin [rosuvastatin calcium]||rosuvastatin||rosuvastatin
rosuvastatin [rosuvastatin calcium]||calcium||calcium
clopidogrel hydrochloride||clopidogrel||clopidogrel
mucinex allergy (fexofenadine)||allergy||fexofenadine
rosuvastatin [rosuvastatin calcium]||rosuvastatin calcium||rosuvastatin
mucinex allergy (fexofenadine)||mucinex||guaifenesin
clopidogrel hydrochloride||hydro||ethanol
green tea extract||green||allantoin
rosuvastatin calcium tablets||rosuvastatin||rosuvastatin
mucinex allergy (fexofenadine)||fexofenadine||fexofenadine
clopidogrel hydrogen sulfate||clopidogrel||clopidogrel
activase||activ||triclosan
rosuvastatin calcium tablets||calcium||calcium
mucinex allergy (fexofenadine)||mucinex allergy||fexofenadine
clopidogrel hydrogen sulfate||sulfate||sulfate ion
activase||activa||ethanol
rosuvastatin calcium tablets||rosuvastatin calcium||rosuvastatin
grisetin (flutamide)||flutamide||flutamide
mucinex er||mucinex||guaifenesin
clopidogrel hydrogen sulfate||hydro||ethanol
actonel (risedronate sodium)||actonel||risedronic acid
rosuvastatin film-coated tablet||rosuvastatin||rosuvastatin
grisetin (flutamide)||flutamid||flutamide
clopidogrel hydrogen sulfate||hydrogen||hydrogen
actonel (risedronate sodium)||risedronate sodium||risedronic acid
rosuvastatin tablet||rosuvastatin||rosuvastatin
clopidogrel sulfate||clopidogrel||clopidogrel
actonel (risedronate sodium)||risedronate||risedronic acid
rosuvastatin teva||rosuvastatin||rosuvastatin
clopidogrel sulfate||sulfate||sulfate ion
actos (pioglitazone hydrochloride)||actos||pioglitazone
rosuvastatine||rosuvastatin||rosuvastatin
clopidogrel tablets usp||clopidogrel||clopidogrel
actos (pioglitazone hydrochloride)||pioglitazone||pioglitazone
rosuvastatine [rosuvastatin]||rosuvastatin||rosuvastatin
actos (pioglitazone hydrochloride)||hydro||ethanol
guaifenesin 600 mg 498||guaifenesin||guaifenesin
actos (pioglitazone hydrochloride)||pioglitazone hydrochloride||pioglitazone
guaifenesin-codeine||guaifenesin||guaifenesin
guaifenesin-codeine||codeine||codeine
guaifenesin-codeine||codein||codeine
guaifenesin-dextromethorphan hydrobromide||guaifenesin||guaifenesin
guaifenesin-dextromethorphan hydrobromide||dextromethorphan||dextromethorphan
guaifenesin-dextromethorphan hydrobromide||dextromethorphan hydrobromide||dextromethorphan
mucosal||mucosa||guaifenesin
guaifenesin-dextromethorphan hydrobromide||hydro||ethanol
clorotrimeton||cloro||chlorine
guanfacine er||guanfacine||guanfacine
guanfacine hcl||guanfacine||guanfacine
clotrimazole vaginal cream usp 1% 7 day||clotrimazol||clotrimazole
clotrimazole vaginal cream usp 1% 7 day||clotrimazole||clotrimazole
rozex (metronidazole)||metronidazol||metronidazole
clotrimazole vaginal cream usp 2% 3 day||clotrimazol||clotrimazole
rozex (metronidazole)||metronidazole||metronidazole
clotrimazole vaginal cream usp 2% 3 day||clotrimazole||clotrimazole
cloxacillin sodium||cloxacillin||cloxacillin
clozapin hexal||clozapin||clozapine
mucosta (rebamipide)||rebamipide||rebamipide
clozapine (clozapine)||clozapine||clozapine
clozapine (clozapine)||clozapin||clozapine
acyclovir (aciclovir)||aciclovir||acyclovir
acyclovir (aciclovir)||acyclovir||acyclovir
clozapine (unknown)||clozapine||clozapine
clozapine (unknown)||clozapin||clozapine
clozapine accord||clozapine||clozapine
clozapine accord||clozapin||clozapine
acyclovir (aciclovir) (aciclovir)||aciclovir||acyclovir
acyclovir (aciclovir) (aciclovir)||acyclovir||acyclovir
clozapine mylan||clozapine||clozapine
clozapine mylan||clozapin||clozapine
rupatadine fumarate||rupatadine||rupatadine
multi complete||complete||chlorpheniramine
acyclovir (aciclovir) (tablets)||aciclovir||acyclovir
clozapine odt||clozapine||clozapine
acyclovir (aciclovir) (tablets)||acyclovir||acyclovir
clozapine odt||clozapin||clozapine
clozapine tablet||clozapine||clozapine
clozapine tablet||clozapin||clozapine
ruxolitinib phosphate||phosphate||sodium phosphate, monobasic, unspecified form
acyclovir (aciclovir) (unknown)||aciclovir||acyclovir
ruxolitinib phosphate||ruxolitinib||ruxolitinib
acyclovir (aciclovir) (unknown)||acyclovir||acyclovir
clozapine teva||clozapine||clozapine
clozapine teva||clozapin||clozapine
clozaril (clozapine)||clozaril||clozapine
clozaril (clozapine)||clozapine||clozapine
clozaril (clozapine)||clozapin||clozapine
acyclovir (acyclovir)||acyclovir||acyclovir
s-adenosylmethionine sulfate p-toluenesulfonate||sulfate||sulfate ion
s-adenosylmethionine sulfate p-toluenesulfonate||toluene||toluene
s-adenosylmethionine sulfate p-toluenesulfonate||s-adenosylmethionine||ademetionine
haldol decanoas||haldol||haloperidol
acyclovir (unknown)||acyclovir||acyclovir
co aprovel||aprovel||irbesartan
sabril     (tablet)||sabril||vigabatrin
acyclovir [aciclovir sodium]||aciclovir||acyclovir
acyclovir [aciclovir sodium]||acyclovir||acyclovir
sabril (for oral solution)||sabril||vigabatrin
sabril (for oral solution)||solution||minoxidil
co atenolol||atenolol||atenolol
multi vitamin [ascorbic acid;colecalciferol;nicotinamide;panthenol;pyr||colecalciferol||cholecalciferol
multi vitamin [ascorbic acid;colecalciferol;nicotinamide;panthenol;pyr||ascor||ascorbic acid
halobetasol prop||halobetasol||ulobetasol
multi vitamin [ascorbic acid;colecalciferol;nicotinamide;panthenol;pyr||panthenol||panthenol
sabril (tablet)||sabril||vigabatrin
acyclovir [aciclovir]||aciclovir||acyclovir
multi vitamin [ascorbic acid;colecalciferol;nicotinamide;panthenol;pyr||ascorbic acid||ascorbic acid
acyclovir [aciclovir]||acyclovir||acyclovir
haloperidol (haloperidol) (haloperidol)||haloperidol||haloperidol
co diovan||diovan||valsartan
multi vitamin [ascorbic acid;colecalciferol;nicotinamide;panthenol;pyr||nicotinamide||nicotinamide
sacubitril valsartan sodium hydrate||sodium hydrate||sodium hydroxide
haloperidol (unknown)||haloperidol||haloperidol
multi vitamin [ascorbic acid;colecalciferol;nicotinamide;panthenol;pyr||nicotina||nicotine
acyclovir abbott vial||acyclovir||acyclovir
sacubitril valsartan sodium hydrate||valsartan||valsartan
haloperidol injection (manufacturer unknown)||haloperidol||haloperidol
sacubitril valsartan sodium hydrate||sacubitril||sacubitril
haloperidol injection (manufacturer unknown)||haloperidol injection||haloperidol
sacubitril;valsartan||valsartan||valsartan
acyclovir sodium (manufacturer unknown)||acyclovir||acyclovir
sacubitril;valsartan||sacubitril||sacubitril
acyclovir sodium (manufacturer unknown)||acyclovir sodium||acyclovir
multi-vitamins vitafit||multi-vitamin||niacin
multi-vitamins vitafit||multi-vitamins||cholecalciferol
co-amoxicillin||amoxicillin||clavulanic acid
hartmann's solution||solution||minoxidil
co-amoxiclav [amoxicillin;clavulanate potassium]||amoxicillin||clavulanic acid
co-amoxiclav [amoxicillin;clavulanate potassium]||clavulanate||clavulanic acid
co-amoxiclav [amoxicillin;clavulanate potassium]||potassium||potassium
adalat cr||adalat||nifedipine
co-aprovel||aprovel||irbesartan
adalat crono||adalat||nifedipine
adalat l||adalat||nifedipine
salbutamol (salbutamol)||salbutamol||salbutamol
salbutamol (unknown)||salbutamol||salbutamol
salbutamol sulfate||sulfate||sulfate ion
adalat xl||adalat||nifedipine
salbutamol sulfate||salbutamol||salbutamol
hctz (hydrochlorothiazide)||hydro||ethanol
salbutamol sulphate||salbutamol||salbutamol
hctz (hydrochlorothiazide)||hydrochlorothiazide||hydrochlorothiazide
adalat-cr||adalat||nifedipine
salbutamol teva||salbutamol||salbutamol
heavy magnesium oxide||magnesium||magnesium
adalate||adalat||nifedipine
heavy magnesium oxide||magnesium oxide||magnesium oxide
co-diovan||diovan||valsartan
multivitamin (16)||multivitamin||cholecalciferol
helixate fs||helix||levomenthol
saline [sodium chloride]||chloride||chloride ion
multivitamin (multivitamins)||multivitamins||cholecalciferol
saline [sodium chloride]||saline||sodium chloride
helixate nexgen||helix||levomenthol
multivitamin (multivitamins)||multivitamin||cholecalciferol
